32,32,3,3,3,24,0,1
32,32,24,1,1,48,0,1
32,32,48,3,3,36,0,1
32,32,36,1,1,48,0,1
32,32,48,3,3,48,0,1
32,32,48,1,1,48,0,1
32,32,48,3,3,60,0,1
32,32,60,1,1,48,0,1
32,32,48,3,3,72,0,1
32,32,72,1,1,48,0,1
32,32,48,3,3,84,0,1
32,32,84,1,1,48,0,1
32,32,48,3,3,96,0,1
32,32,96,1,1,48,1,1
16,16,48,1,1,48,0,1
16,16,48,3,3,60,0,1
16,16,60,1,1,48,0,1
16,16,48,3,3,72,0,1
16,16,72,1,1,48,0,1
16,16,48,3,3,84,0,1
16,16,84,1,1,48,0,1
16,16,48,3,3,96,0,1
16,16,96,1,1,48,0,1
16,16,48,3,3,108,0,1
16,16,108,1,1,48,0,1
16,16,48,3,3,120,0,1
16,16,120,1,1,60,1,1
8,8,60,1,1,48,0,1
8,8,48,3,3,72,0,1
8,8,72,1,1,48,0,1
8,8,48,3,3,84,0,1
8,8,84,1,1,48,0,1
8,8,48,3,3,96,0,1
8,8,96,1,1,48,0,1
8,8,48,3,3,108,0,1
8,8,108,1,1,48,0,1
8,8,48,3,3,120,0,1
8,8,120,1,1,48,0,1
8,8,48,3,3,132,1,1
1,1,132,1,1,10,0,1
